Sgnyea,Prvcnm_id,a0101,a0102,a0103,a0104,a0105,a0106,a0107,a0108,a0109,a0110,a0111,a0112,a0113,a0114,a0115
年度标识,区块编号,AQI,PM2.5,PM_2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
140623,1232A,42,28,19,42,43,16,14,31,31,48,93,60,78,0.587,0.631
140623,1233A,50,32,22,50,49,6,7,18,20,8,103,34,88,0.631,0.453
140624,1223A,99,74,51,141,102,26,21,77,49,10,121,56,101,1.124,0.874
140624,1224A,85,63,47,88,65,5,7,62,41,15,120,53,94,1.106,0.867
140624,1225A,37,22,21,33,34,5,6,73,63,32,111,64,97,0.289,0.281
140624,1226A,63,45,48,62,68,21,15,76,37,7,100,61,93,0.545,0.421
140624,1227A,77,56,39,81,63,3,5,23,22,3,98,26,62,0.864,0.705
140624,1228A,67,48,43,78,74,29,15,52,37,21,94,41,62,1,0.805
140624,1229A,70,51,49,88,83,8,7,104,63,13,109,60,97,0.58,0.475
140624,1230A,77,56,51,97,79,39,21,83,60,43,112,82,103,0.769,0.606
140624,1231A,67,48,49,60,59,5,9,40,32,29,92,64,79,0.636,0.576
140624,1232A,98,65,43,145,95,28,33,69,51,17,95,54,83,1.076,0.797
140624,1233A,79,58,42,95,77,6,10,25,28,8,132,37,94,0.832,0.626
140625,1223A,30,19,43,23,84,8,12,15,33,96,141,112,124,0.662,0.873
140625,1224A,30,21,37,27,65,4,6,36,41,36,139,85,117,0.667,0.772
140625,1225A,34,10,15,19,33,5,6,67,64,59,124,94,116,0.258,0.287
140625,1226A,55,31,41,59,91,29,18,81,41,25,145,93,119,0.379,0.585
140625,1227A,26,18,32,21,50,3,5,15,16,48,134,72,103,0.508,0.8
140625,1228A,29,10,33,29,66,3,5,2,12,2,8,2,32,0.35,0.733
140625,1229A,29,16,38,29,79,3,5,58,70,72,132,87,108,0.404,0.598
140625,1230A,42,18,41,42,70,6,12,48,53,77,141,99,129,0.616,0.765
140625,1231A,45,23,43,45,77,10,9,42,47,53,129,88,111,0.586,0.785
140625,1232A,39,18,37,39,75,10,11,28,34,68,129,94,112,0.917,0.826
140625,1233A,29,12,31,29,67,5,9,27,23,18,147,65,114,0.486,0.628
140626,1223A,87,37,28,123,89,4,14,73,41,7,117,50,105,0.861,0.763
140626,1224A,68,49,38,65,55,4,4,59,42,14,109,41,80,1.032,0.883
140626,1225A,36,13,11,18,18,7,6,71,63,39,102,60,95,0.242,0.24
140626,1226A,73,53,46,65,70,7,13,60,50,13,103,43,82,0.397,0.459
140626,1227A,49,34,31,39,48,3,4,29,26,4,86,14,60,0.864,0.723
140626,1228A,65,47,39,55,64,3,3,13,14,2,2,2,2,0.698,0.544
140626,1229A,72,52,45,86,76,3,5,106,79,6,107,42,79,0.734,0.605
140626,1230A,84,62,46,78,75,7,8,73,61,49,124,79,101,0.885,0.793
140626,1231A,87,64,47,52.666667,52,5,8,32,40,32,102,50,79,0.604,0.458
140626,1232A,67,48,31,62,64,6,14,55,43,15,77,40,87,1.006,0.902
140626,1233A,62,44,46,59.666667,80,8,8,19,27,29,130,31,86,0.702,0.613
140627,1223A,43,30,39,36,136,7,8,74,70,1,27,10,40,1.631,0.992
140627,1224A,69,50,56,44.285714,98,7,6,74,68,13,45,15,36,1.094,1.131
140627,1225A,41,15,16,41,35,5,6,79,73,8,61,25,55,0.366,0.316
140627,1226A,84,62,54,65,125,13,11,46,57,18,38,21,32,0.525,0.493
140627,1227A,61,39,39,71,68,4,4,57,38,2,52,2,22,1.074,1.009
140627,1228A,82,60,54,98,96,3,3,2,6,2,2,2,2,1.692,0.877
140627,1229A,77,56,57,58,120,8,5,98,99,1,24,7,34,1.393,0.946
140627,1230A,82,60,60,40.230769,116,12,9,81,79,53,67,55,71,1.025,1.101
140627,1231A,97,72,64,100.769231,90,6,6,59,42,8,37,24,44,0.785,0.715
140627,1232A,73,53,65,85,114,10,20,68,65,1,23,9,33,1.368,1.276
140627,1233A,57,40,52,46,93,3,9,54,41,8,81,14,39,1.073,0.94
140628,1223A,81,25,27,112,87,15,11,62,57,15,61,34,45,0.83,1.047
140628,1224A,74,54,44,70,66,6,7,49,46,14,75,41,62,1.104,1.104
140628,1225A,31,10.666667,9,22,18,7,5,62,69,91,100,89,89,0.796,0.51
140628,1226A,114,86,56,112,97,23,18,74,58,5,100,21,63,0.635,0.62
140628,1227A,63,45,33,60,48,3,4,33,37,2,55,17,32,0.876,1.076
140628,1228A,87,64,45,99,67,3,4,67,23,2,2,2,2,0.786,0.923
140628,1229A,93,69,47,114,98,9,7,104,96,4,45,21,31,0.808,1.063
140628,1230A,110,83,53,97,84,37,21,82,72,49,92,65,79,0.968,1.069
140628,1231A,143,109,63,103.157895,88,14,9,55,40,14,78,40,64,0.761,0.722
140628,1232A,75,55,40,85,70,24,13,74,59,9,68,29,45,1.243,1.234
140628,1233A,62,44,33,62,61,5,7,34,45,9,64,14,34,1.027,1.085
140629,1223A,59,16,18,67,99,9,14,53,50,21,124,67,110,0.868,0.807
140629,1224A,73,53,51,66,75,5,8,53,43,14,137,65,103,0.58,0.43
140629,1225A,35,13,14,8,26,5,6,70,64,50,119,75,105,0.299,0.518
