id,x,y
BEJ,-151.602858671644,-371.383588413093
TAJ,-169.774279490778,-397.913610377161
HEB,-103.353222630593,78.9185363008664
SHX,-10.011607672483,-17.8258191624474
ZH,2761.39297490483,1047.80924205997
NMG,-86.2100625709704,-67.2045777645345
LIA,71.1037874994504,-230.843055568568
JIL,-24.5522189129024,-96.1580959693614
HLJ,9.42938215904893,-223.326297629945
SHH,-113.128308069866,-992.059205346762
JSU,57.4698670118878,29.7777577484593
ZHJ,-12.7012632865827,44.0447433363495
ANH,-99.9936128928393,85.2478773732051
FUJ,-135.710173620391,90.4752539422979
JXI,-123.548103635231,78.9597941305467
SHD,-8.20675341326095,60.4053680016431
HEN,-115.138446786444,58.2400263788161
HUB,6.16082281624176,51.0583247103435
HUN,-96.4052554157571,82.4141667992988
GUD,52.7004940073037,-34.3532766470122
GXI,-134.527176030489,78.2858962601932
SCH,-538.85029818077,373.676924963925
GUI,-216.434012020951,130.897381717569
YUN,-129.153192456177,80.8620570748589
SHA,-86.2462170101119,60.2511911039499
GAN,-160.417751657627,63.5276809990088
QIH,-163.969063374593,-15.1206036935955
NXA,-128.26877327747,22.9851414373067
XIN,-150.103283325369,-71.6501857757811
