id,x,y
BEJ,656.2,552.05
TAJ,592.92,541.64
HEB,-17.597,-22.773
SHX,81.838,5.5437
ZH,-5542.4,153.88
NMG,112.15,-91.639
LIA,36.183,377.74
JIL,112.76,5.5951
HLJ,95.59,319.32
SHH,852.15,1488.2
JSU,-104.23,52.415
ZHJ,100.1,-92.822
ANH,129.37,-181.13
FUJ,210.23,-187.94
JXI,200.86,-207.3
SHD,-32.806,-6.1099
HEN,66.154,-131.26
HUB,68.968,-128.73
HUN,42.613,-84.043
GUD,-6.4468,7.0957
GXI,226.12,-233.68
SCH,683.57,-975.92
GUI,338.78,-376.65
YUN,215.42,-218.74
SHA,157.68,-148.58
GAN,162.25,-72.175
QIH,199.77,-86.269
NXA,197.19,-132.61
XIN,164.61,-125.14
