id,x,y
BEJ,-378.12,-357.58
TAJ,-490.84,-371.16
HEB,-35.322,67.737
SHX,-64.214,-37.959
ZH,4553.2,-111.47
NMG,-97.384,-5.912
LIA,-25.222,-356.01
JIL,-71.986,-37.81
HLJ,-107.63,-300.27
SHH,-649.25,-1135.3
JSU,72.355,-52.01
ZHJ,-102.4,118.77
ANH,-103.01,133.87
FUJ,-151.9,141.41
JXI,-157.7,157.04
SHD,-17.363,62.19
HEN,-104.75,140.67
HUB,-12.51,48.43
HUN,-64.098,90.587
GUD,6.8225,8.3382
GXI,-250.46,254.82
SCH,-401.66,583.32
GUI,-263.53,281.8
YUN,-166.12,161.35
SHA,-147.4,133.6
GAN,-215.62,151.52
QIH,-184.47,102.26
NXA,-180.51,133.84
XIN,-188.89,-6.1166
