id,x,y
BEJ,401.6164754714718,757.6686935131164
TAJ,346.843935791945,724.3116043557172
HEB,-7.784738336951197,-27.706710144389255
SHX,73.80216571811695,35.79708352653331
ZH,-5196.468258145803,-1933.5445318076133
NMG,138.31224290370596,-42.9540717970513
LIA,-107.95560118713655,363.7888195936263
JIL,102.45329009012958,47.42832585826488
HLJ,-30.989872751529816,331.8769927048936
SHH,232.61018934752758,1699.0560209456626
JSU,-116.27537775539129,9.553096505377653
ZHJ,127.5828370561872,-48.564939747665555
ANH,187.80226753072944,-119.47795658746567
FUJ,265.32542491216225,-95.50138949345484
JXI,263.8900958434035,-116.96173269817494
SHD,-28.12838470780615,-17.95434453662002
HEN,110.50778216678387,-96.92042816960027
HUB,112.16912285219254,-93.52051006367391
HUN,70.99314752510801,-61.96020192412426
GUD,-8.635464878522452,4.164004690415852
GXI,297.19288194407227,-131.95828023196086
SCH,999.3811341126758,-648.7874382875042
GUI,455.20691966023946,-222.3145771051378
YUN,281.67539219457393,-122.11444399428332
SHA,201.85739783782725,-78.69300946171228
GAN,177.4728112832547,-6.139574921626156
QIH,217.54045483420447,-5.15206478292545
NXA,232.5079646349089,-49.085176798418004
XIN,199.5020034003061,-54.363796218294496
