id,x,y
BEJ,-760.15,-629.69
TAJ,-796.31,-574.93
HEB,-13.005,-20.207
SHX,-121.8,70.237
ZH,6873,-256.63
NMG,-192.65,191.3
LIA,-46.821,-612.99
JIL,-91.776,5.5494
HLJ,-84.268,-305.62
SHH,-1125,-1752.8
JSU,167.15,-186.49
ZHJ,-124.12,149.45
ANH,-158.2,213.57
FUJ,-234.17,253.09
JXI,-317.25,389.36
SHD,-105.08,178.58
HEN,-87.376,129.73
HUB,-105.04,165.58
HUN,-112.67,173.3
GUD,2.2329,-34.379
GXI,-220.27,226.83
SCH,-396.88,596.18
GUI,-458.87,561.71
YUN,-252.98,297.11
SHA,-155.95,140.12
GAN,-200.86,79.268
QIH,-261.36,116.91
NXA,-324.37,120.55
XIN,-295.15,315.29
