id,x,y
BEJ,81.01038437543903,-731.678252370458
TAJ,114.70693863758386,-792.9308180549065
HEB,35.09602523202008,22.455334711328412
SHX,68.5442517625508,-27.901676197919045
ZH,4342.817480813082,5063.6072296453385
NMG,216.1209691687676,86.38404908760222
LIA,30.191812252835675,-416.3641960458972
JIL,58.39866842831973,-69.78178503233991
HLJ,-30.09440475380531,-342.818667974661
SHH,-433.69958521546675,-2057.922173804508
JSU,94.62487706973792,6.619690160367199
ZHJ,239.94080143944046,138.1804388746094
ANH,281.8294332388706,179.09235894809967
FUJ,413.52329119131434,239.07144177982846
JXI,333.3774903212612,194.30891731843408
SHD,11.327170135156912,13.512844049897636
HEN,191.65348700280828,127.12339102776706
HUB,111.24403890523845,72.08038297593176
HUN,126.92052866092132,82.57271739346109
GUD,64.0867935989741,29.919279300151878
GXI,493.17807690874884,293.567925562552
SCH,979.3093908146816,689.3888108174676
GUI,628.6488833364798,376.0347761447399
YUN,463.47775946759174,275.0947321875113
SHA,263.4785114202518,127.98212296940686
GAN,259.71963700674155,62.53668313191024
QIH,275.4970614031689,59.88955778420978
NXA,309.70870701165177,128.3337238734344
XIN,295.87654675103727,133.32478261014865
