id,x,y
BEJ,-693.3,552.42
TAJ,-721.16,492.8
HEB,-45.786,-39.15
SHX,-123.94,-39.556
ZH,6707.9,217.49
NMG,-185.48,-146.8
LIA,-68.878,533.15
JIL,-134.17,-40.12
HLJ,-94.308,263.74
SHH,-1094.1,1670.6
JSU,148.75,186.87
ZHJ,-127.96,-109.89
ANH,-154.56,-180.19
FUJ,-285.1,-289.83
JXI,-267.18,-284.69
SHD,30.816,30.647
HEN,-112.93,-154.71
HUB,-44.155,-42.371
HUN,-49.682,-56.24
GUD,-44.321,-9.3128
GXI,-249.35,-260.85
SCH,-467.42,-658.01
GUI,-439.68,-497.23
YUN,-244.86,-252.15
SHA,-195.62,-162.54
GAN,-226.9,-130.13
QIH,-266.2,-128.94
NXA,-264.44,-187.79
XIN,-286.01,-277.19
