id,x,y
BEJ,401.13,339.81
TAJ,444.75,433.84
HEB,-60.17,-30.033
SHX,49.13,33.237
ZH,-3273,143.38
NMG,122.52,33.505
LIA,64.443,475.91
JIL,59.646,48.07
HLJ,171.48,259.75
SHH,524.21,962.65
JSU,-44.291,-22.92
ZHJ,5.1658,-58.596
ANH,77.895,-179.53
FUJ,66.525,-143.95
JXI,79.415,-165.81
SHD,-19.869,-99.756
HEN,13.347,-116.13
HUB,-56.207,-6.2489
HUN,26.368,-113.58
GUD,-43.778,-40.015
GXI,133.31,-215.11
SCH,410.84,-642.04
GUI,102.5,-180.38
YUN,91.631,-172.06
SHA,65.397,-83.368
GAN,32.802,-82.197
QIH,127.22,-99.8
NXA,241.23,-259.85
XIN,186.43,-18.789
