id,x,y
BEJ,395.1384037266299,346.75892908528084
TAJ,437.1107104120539,441.5358818296306
HEB,-59.636687695029124,-31.078537123963248
SHX,48.54245163027752,34.08937457217672
ZH,-3275.0038322818464,86.23643626229443
NMG,121.91659673287988,35.63816586291087
LIA,56.12741027139572,476.96220202991606
JIL,58.7979784478579,49.103644940525946
HLJ,166.92062019333358,262.703177472738
SHH,507.3296012210809,971.6521097207884
JSU,-43.88424511062918,-23.689493706498215
ZHJ,6.1876544312379504,-58.49691990421018
ANH,81.01636674189261,-178.14320151199473
FUJ,69.0271418269259,-142.76705437952222
JXI,82.2966882222108,-164.39876347666436
SHD,-18.124991598504685,-100.08756854152335
HEN,15.371715146814088,-115.8793755697933
HUB,-56.089381059069346,-7.228895670883167
HUN,28.346228349030387,-113.10251616292463
GUD,-43.07297435496859,-40.772936970694396
GXI,137.04388339002256,-212.75065740293707
SCH,421.98257010704526,-634.7720675375158
GUI,105.63245382668731,-178.5636555924883
YUN,94.61990520647429,-170.43461297435394
SHA,66.84201194000597,-82.21396762601898
GAN,34.23153954844534,-81.61200716281412
QIH,128.942373940237,-97.56450482965664
NXA,245.72826731530438,-255.60037958152242
XIN,186.72951907255614,-15.532486212190673
