id,x,y
BEJ,-698.88,491.35
TAJ,-675.96,483.03
HEB,-57.843,-56.468
SHX,-106.43,-18.965
ZH,6217.5,204.95
NMG,-196.17,-167.6
LIA,-40.777,484.87
JIL,-147.46,-50.229
HLJ,-101.33,259.18
SHH,-995.83,1551.2
JSU,139.6,160.2
ZHJ,-129.35,-129.39
ANH,-139.9,-163.96
FUJ,-232.41,-234.51
JXI,-237.87,-258.83
SHD,41.588,31.768
HEN,-81.84,-111.22
HUB,-52.453,-48.2
HUN,-54.637,-69.196
GUD,-30.814,-24.669
GXI,-256.46,-285.43
SCH,-468.4,-652.33
GUI,-341.39,-373.3
YUN,-251.29,-275.01
SHA,-148.43,-119.28
GAN,-203.08,-108.38
QIH,-282.76,-141.45
NXA,-213.61,-140.24
XIN,-253.33,-237.9
