id,x,y
BEJ,823.34,824.63
TAJ,770.57,729.5
HEB,-0.3092,-69.758
SHX,121.07,-58.183
ZH,-7453.9,113.03
NMG,182.22,-135.27
LIA,18.512,544.61
JIL,114.9,2.5411
HLJ,70.434,250.18
SHH,1110.3,1957.4
JSU,-178.16,90.856
ZHJ,190.1,-160.53
ANH,172.82,-198.23
FUJ,273.16,-214.12
JXI,266.72,-234.32
SHD,3.8772,-127.45
HEN,93.923,-174.17
HUB,71.148,-137.03
HUN,83.214,-163.04
GUD,-43.571,2.7421
GXI,219.63,-211.17
SCH,1235.4,-1574.6
GUI,434.73,-363.86
YUN,284.13,-238.47
SHA,179.21,-134.22
GAN,149.82,-42.513
QIH,257.4,-45.634
NXA,264.5,-7.6173
XIN,284.71,-225.24
