id,x,y
BEJ,663.579926753914,-70.8217933214768
TAJ,660.711487575804,-71.4419196646373
HEB,-22.6424194030507,25.9195089519932
SHX,22.6568381613539,-66.5473297325311
ZH,-3043.59645663319,3577.33733299921
NMG,11.0537750920676,-160.3485848276
LIA,280.765501804777,220.826088540987
JIL,69.3315677139127,-42.9729447947327
HLJ,313.553478805534,156.129791983936
SHH,1487.88989867725,352.856678857316
JSU,-11.4755639826925,108.338305669228
ZHJ,-17.5615229389108,-87.8561605641067
ANH,-31.247174983498,-216.591797064318
FUJ,-28.6866363162977,-243.544448914067
JXI,-18.2282939551633,-178.145225867785
SHD,-26.1450068673679,-19.9094057619831
HEN,-42.9298033586846,-125.278180800108
HUB,-23.2555937946272,-79.7454650889898
HUN,-37.0219591987778,-68.3656197666929
GUD,-9.46946337971496,44.8051111850003
GXI,-44.6013994902889,-351.490145044648
SCH,-153.972368923646,-751.521572616542
GUI,-38.3274613349854,-449.47600014641
YUN,-49.8589615678946,-397.571565823527
SHA,-17.7072749025742,-323.243579542618
GAN,41.3572586670839,-177.402044395052
QIH,48.3126741593247,-190.335999526035
NXA,9.28898911370517,-187.448092765025
XIN,8.214692993344,-226.148024132481
