id,x,y
BEJ,-892.11,-709.93
TAJ,-768.22,-442.48
HEB,-10.696,-30.185
SHX,-172.99,146.35
ZH,7240.8,-273.4
NMG,-204.61,199.83
LIA,-70.528,-665.76
JIL,-145.5,48.103
HLJ,-101.05,-318.63
SHH,-1222.3,-1846.5
JSU,140.34,-226.49
ZHJ,-168.78,175.88
ANH,-163.39,191.38
FUJ,-284.81,325.65
JXI,-288.03,366.63
SHD,65.624,-78.425
HEN,-141.93,202.77
HUB,-114.92,165.84
HUN,-86.069,120.39
GUD,4.1871,-65.626
GXI,-231.17,257.6
SCH,-379.53,535.57
GUI,-455.86,571.4
YUN,-334.32,425.3
SHA,-202.68,208.37
GAN,-164.82,61.207
QIH,-300.39,206.49
NXA,-276.57,194.67
XIN,-269.64,253.96
