id,x,y
BEJ,-747.219984616988,695.1112532610742
TAJ,-784.2397725013485,643.5793482366607
HEB,-12.619542861132809,21.313335322205578
SHX,-122.70761445270668,-59.52004718076708
ZH,-6885.963581038047,136.97337401484472
NMG,-195.4819568080977,-174.23922795120563
LIA,-36.02774223828627,616.2330829319623
JIL,-91.63510885846652,2.4609082782563787
HLJ,-78.72911265096138,312.5494078341766
SHH,-1091.5725700833227,1848.4971871429775
JSU,-183.18265352016263,183.99153193282336
ZHJ,-126.40070043700737,-138.4222473451404
ANH,-161.5088277200498,-199.4827041329754
FUJ,-237.9702651860504,-232.32412116990005
JXI,-323.2077099719853,-361.1630378899605
SHD,-107.91712393075159,-169.1726021020084
HEN,-89.40846653621833,-121.93327100213874
HUB,-107.65089883381403,-156.19389643352102
HUN,-115.39555765803092,-163.2379994778442
GUD,-5.227630385828825,34.41843226702691
GXI,-223.64905297096163,-207.31214585793907
SCH,-406.23235092521406,-560.7561546229905
GUI,-467.46180900187693,-520.9279490955727
YUN,-257.4979705969388,-274.6436267616437
SHA,-157.98589379871208,-126.32950637602919
GAN,-201.72024512308374,-61.64478309674329
QIH,-262.7190213684901,-93.9597294930677
NXA,-325.629330835752,-92.10038159439844
XIN,-299.8753514058313,-289.1215747416446
